City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Buta,CD,72.93,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
415,Seoul,KR,65.64,overcast clouds,37.5683,126.9778,Lotte Hotel Seoul
416,Kwale,NG,77.27,moderate rain,5.7063,6.4374,Benvo Twin Hotel 1
417,Tangwani,PK,87.73,broken clouds,28.2787,68.9972,Malik Hafeez Markeet
418,El Carmen,CO,77.79,broken clouds,8.5106,-73.4478,Hotel La Casona
420,Lompoc,US,90.12,fog,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
421,Kathu,TH,84.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
422,Muzambinho,BR,86.88,scattered clouds,-21.3758,-46.5256,Hostel Muzambinho
425,Bereda,ES,68.41,overcast clouds,43.2686,-7.5406,Pazo de Verdes
426,Mlonggo,ID,79.52,broken clouds,-6.5333,110.7,Asia Metal Art
428,Alegrete,BR,70.45,overcast clouds,-29.7831,-55.7919,Hotel Alegrete
429,Jinchang,CN,65.95,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
430,Lasa,IT,61.68,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
431,Miri,MY,78.94,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
433,Bandarbeyla,SO,79.2,overcast clouds,9.4942,50.8122,JABIR HOTEL
434,Casablanca,MA,80.82,scattered clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
435,Liaocheng,CN,64.0,light rain,36.4439,115.9647,凯旋宫大酒店
437,Oriximina,BR,89.37,scattered clouds,-1.7656,-55.8661,Pousada Tia Amélia
438,Acajutla,SV,83.97,clear sky,13.5928,-89.8275,asi es
440,Kumluca,TR,74.88,few clouds,36.3703,30.2869,TurkuazKöy
442,Chachapoyas,PE,71.82,light rain,-6.2317,-77.869,Teresita
444,Samarai,PG,79.9,broken clouds,-10.6167,150.6667,Nuli Sapi
445,Enshi,CN,69.12,light rain,30.3,109.4833,Moevenpick Enshi
448,Bonthe,SL,82.49,light rain,7.5264,-12.505,Bonthe Holiday Village
451,Hasaki,JP,64.8,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
453,Pisco,PE,67.01,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
454,Am Timan,TD,82.49,scattered clouds,11.0297,20.2827,Palais du chef Canton Salamt
456,Maunabo,PR,93.04,clear sky,18.0072,-65.8993,Maunacaribe
457,Muros,ES,68.99,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
460,Port Lavaca,US,77.31,light intensity drizzle,28.615,-96.6261,Holiday Inn Express & Suites Port Lavaca
464,Mandeville,JM,80.65,clear sky,18.0417,-77.5071,Mandeville Hotel
466,Mora,CM,85.91,broken clouds,11.0461,14.1401,Hotel Emergence
467,Weatherford,US,74.8,overcast clouds,32.7593,-97.7972,"Candlewood Suites Weatherford, an IHG Hotel"
468,Emerald,AU,62.98,overcast clouds,-23.5333,148.1667,The Irish Village
469,Cayenne,GF,89.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
471,Chicama,PE,63.14,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
472,Tabuk,PH,75.04,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
473,San Joaquin,US,80.78,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
474,General Pico,AR,69.19,clear sky,-35.6566,-63.7568,Euskadi Hotel
