City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
185,Bengkulu,ID,-3.8004,102.2655,76.77,87,100,2.35,overcast clouds
186,Baruun-Urt,MN,46.6806,113.2792,36.5,50,44,3.49,scattered clouds
187,Ilulissat,GL,69.2167,-51.1,30.22,64,75,4.61,broken clouds
188,Provideniya,RU,64.3833,-173.3,22.23,83,13,8.08,few clouds
189,Bubaque,GW,11.2833,-15.8333,83.59,71,22,5.48,few clouds
190,Gamba,GA,-2.65,10.0,76.71,81,98,7.4,overcast clouds
191,Chingirlau,KZ,51.095,54.0814,47.57,63,100,3.94,overcast clouds
192,Trollhattan,SE,58.2333,12.4167,55.47,91,90,7.0,overcast clouds
193,Palu,ID,-0.8917,119.8707,75.33,97,100,1.57,overcast clouds
194,Atar,MR,20.5169,-13.0499,104.54,13,17,13.09,few clouds
195,Aklavik,CA,68.2191,-135.0107,34.63,96,99,0.92,overcast clouds
196,Mayo,US,38.8876,-76.5119,72.39,54,1,1.01,clear sky
197,Melchor De Mencos,GT,17.0686,-89.1522,89.6,62,20,4.61,few clouds
198,Sipe Sipe,BO,-17.45,-66.3833,82.89,22,7,4.88,clear sky
199,Solnechnyy,RU,50.7214,136.6319,38.62,65,0,5.01,clear sky
200,Izhma,RU,65.0083,53.9113,34.09,74,80,2.15,broken clouds
201,Shache,CN,38.4167,77.2406,74.25,14,4,6.78,clear sky
202,Waipawa,NZ,-41.4122,175.5153,52.03,91,25,4.09,scattered clouds
203,Port Keats,AU,-14.25,129.55,78.28,87,3,7.99,clear sky
204,Makakilo City,US,21.3469,-158.0858,75.56,73,1,6.91,clear sky
205,Puerto Baquerizo Moreno,EC,-0.9,-89.6,74.39,78,40,16.11,scattered clouds
206,Natal,BR,-5.795,-35.2094,86.65,62,40,19.57,scattered clouds
207,Adrar,MR,20.5022,-10.0711,101.01,15,45,10.25,scattered clouds
208,Vagur,FO,61.4732,-6.8119,48.58,92,64,21.39,broken clouds
209,Mountain Home,US,43.133,-115.6912,58.57,35,1,6.91,clear sky
210,Sorland,NO,67.667,12.6934,53.67,80,99,23.2,overcast clouds
211,Douentza,ML,14.9951,-2.9517,98.65,24,21,9.93,few clouds
212,Caravelas,BR,-17.7125,-39.2481,83.23,56,1,11.03,clear sky
213,Klaksvik,FO,62.2266,-6.589,52.72,98,60,17.58,broken clouds
214,Faya,SA,18.3851,42.4509,68.11,60,95,4.88,overcast clouds
215,Omboue,GA,-1.5746,9.2618,77.72,80,100,8.59,overcast clouds
216,Ancud,CL,-41.8697,-73.8203,47.73,95,100,27.27,moderate rain
217,Eureka,US,40.8021,-124.1637,62.2,71,54,3.87,broken clouds
218,Prieska,ZA,-29.6641,22.7474,72.16,16,9,19.57,clear sky
219,Korla,CN,41.7597,86.1469,70.52,25,0,8.75,clear sky
220,Helsinki,FI,60.1695,24.9355,52.77,86,75,1.99,broken clouds
221,Chuy,UY,-33.6971,-53.4616,65.53,71,19,16.08,few clouds
222,Kramat,ID,-8.1311,113.4499,72.16,87,100,0.51,overcast clouds
223,Lokosovo,RU,61.1333,74.8167,33.49,91,99,12.12,overcast clouds
224,Nunchia,CO,5.6406,-72.1986,82.62,73,90,3.18,overcast clouds
225,Dahra,DZ,36.2546,0.8519,79.99,55,95,7.02,overcast clouds
226,Huarmey,PE,-10.0681,-78.1522,69.93,74,31,11.79,scattered clouds
227,Seymchan,RU,62.8833,152.4333,30.67,98,100,3.49,snow
228,Sharya,RU,58.3686,45.5144,47.26,87,100,4.36,overcast clouds
229,Kiama,AU,-34.6833,150.8667,56.44,85,44,1.99,scattered clouds
230,Beringovskiy,RU,63.05,179.3167,22.41,80,15,9.01,few clouds
231,Shirokiy,RU,49.758,129.523,34.66,73,21,3.13,few clouds
232,Westport,US,41.1415,-73.3579,68.2,55,20,3.0,few clouds
233,Santa Rosalia,MX,27.3167,-112.2833,79.41,57,0,4.68,clear sky
234,Batagay-Alyta,RU,67.8006,130.4114,20.66,74,6,3.8,clear sky
235,Kahului,US,20.8947,-156.47,76.26,77,20,11.5,few clouds
236,Lebu,CL,-37.6167,-73.65,54.3,80,98,16.02,overcast clouds
237,Coari,BR,-4.085,-63.1414,90.73,52,97,2.82,overcast clouds
238,Nishihara,JP,26.1842,127.7558,80.65,80,20,3.44,few clouds
239,Hami,CN,42.8,93.45,62.94,37,66,23.04,broken clouds
240,Tauranga,NZ,-37.6861,176.1667,51.94,63,33,7.0,scattered clouds
241,Zhigalovo,RU,54.8097,105.1578,29.48,83,21,2.59,few clouds
242,Benito Juarez,MX,19.385,-99.165,71.42,50,40,3.0,scattered clouds
243,Kalmunai,LK,7.4167,81.8167,76.26,88,100,3.65,overcast clouds
244,Shelburne,CA,44.0787,-80.2041,63.12,62,67,5.08,broken clouds
245,Ampanihy,MG,-24.7,44.75,75.4,55,8,8.61,clear sky
246,Qarqin,AF,37.4185,66.0436,68.7,30,0,21.3,clear sky
247,Taveta,KE,-3.3963,37.6736,75.13,54,83,13.24,broken clouds
248,Lobez,PL,53.6392,15.6213,58.32,63,100,10.49,overcast clouds
249,Ossora,RU,59.2353,163.0719,38.68,92,100,5.28,overcast clouds
250,Farim,GW,12.4839,-15.2217,90.32,64,74,2.62,broken clouds
251,Pathein,MM,16.7833,94.7333,78.73,88,42,5.91,moderate rain
252,Teixoso,PT,40.3145,-7.4576,77.2,37,100,3.67,overcast clouds
253,Sabha,LY,27.0377,14.4283,81.27,27,0,9.44,clear sky
254,Anadyr,RU,64.75,177.4833,10.9,92,0,11.18,clear sky
255,Winnemucca,US,40.973,-117.7357,60.85,17,1,8.05,clear sky
256,Flinders,AU,-34.5833,150.8552,57.2,88,28,1.01,scattered clouds
257,Geraldton,AU,-28.7667,114.6,60.13,67,75,14.97,broken clouds
258,Yaring,TH,6.8662,101.3689,80.62,81,100,1.28,overcast clouds
259,Havoysund,NO,70.9963,24.6622,48.43,70,84,24.25,broken clouds
260,College,US,64.8569,-147.8028,31.28,81,75,3.44,broken clouds
261,Baykit,RU,61.67,96.37,38.26,99,100,1.88,light rain
262,Iberia,US,29.9502,-91.7507,84.16,78,75,8.05,broken clouds
263,Chapais,CA,49.7834,-74.8492,53.38,47,6,7.52,clear sky
264,Alihe,CN,50.5667,123.7167,31.5,84,81,2.06,broken clouds
265,Kavieng,PG,-2.5744,150.7967,81.99,69,99,4.56,overcast clouds
266,Tungor,RU,53.3808,142.9564,41.52,74,0,9.84,clear sky
267,Vaxjo,SE,56.8777,14.8091,53.65,82,90,10.36,overcast clouds
268,Sembe,CG,1.6481,14.5806,72.19,98,100,2.66,light rain
269,Merauke,ID,-8.4667,140.3333,76.44,89,100,8.93,overcast clouds
270,Manadhoo,MV,5.7667,73.3833,80.8,80,100,14.38,overcast clouds
271,Coquimbo,CL,-29.9533,-71.3436,64.13,59,0,17.27,clear sky
272,Ukiah,US,39.1502,-123.2078,82.02,39,1,0.0,clear sky
273,Abong Mbang,CM,3.9833,13.1833,67.37,99,100,2.57,overcast clouds
274,Liverpool,GB,53.4106,-2.9779,57.69,63,40,1.01,scattered clouds
275,Margate,GB,51.3813,1.3862,60.66,87,61,1.99,broken clouds
276,Kibala,TD,9.1104,18.3463,82.35,69,20,0.0,thunderstorm
277,Lima,PE,-12.0432,-77.0282,63.14,77,90,14.97,overcast clouds
278,Husavik,IS,66.0449,-17.3389,44.51,98,100,14.83,overcast clouds
279,Palimbang,PH,6.2106,124.1894,78.73,86,100,3.27,overcast clouds
280,Hovd,MN,48.0056,91.6419,36.86,37,0,15.28,clear sky
281,Tateyama,JP,34.9833,139.8667,64.42,77,28,6.46,scattered clouds
282,Aparecida Do Taboado,BR,-20.0867,-51.0936,92.46,32,40,5.28,scattered clouds
283,Aseri,EE,59.4506,26.8675,49.28,80,100,8.34,overcast clouds
284,Kotelnikovo,RU,47.6317,43.1461,48.2,43,0,8.52,clear sky
285,Ust-Kut,RU,56.7938,105.7672,29.07,89,29,2.64,scattered clouds
286,Port Hedland,AU,-20.3167,118.5667,73.45,78,0,14.97,clear sky
287,Port Hardy,CA,50.6996,-127.4199,48.38,93,75,5.75,mist
288,Galyugayevskaya,RU,43.6969,44.9344,50.56,81,100,4.5,overcast clouds
289,Shieli,KZ,44.1667,66.75,46.99,42,77,8.41,broken clouds
